"x","y","z","x2","diff","col","umean","pred"
278,3454.227,3456.704,77284,FALSE,376,3458.137,3458.137
279,3453.304,3456.909,77841,FALSE,376,3458.137,3458.137
280,3451.393,3457.135,78400,FALSE,376,3458.137,3458.137
281,3451.743,3457.382,78961,FALSE,376,3458.137,3458.137
282,3455.488,3457.649,79524,FALSE,376,3458.137,3458.137
283,3455.864,3457.936,80089,FALSE,376,3458.137,3458.137
284,3457.143,3458.244,80656,FALSE,376,3458.137,3458.137
285,3456.244,3458.573,81225,FALSE,376,3458.137,3458.137
286,3457.564,3458.922,81796,FALSE,376,3458.137,3458.137
287,3459.632,3459.291,82369,FALSE,376,3458.137,3458.137
288,3459.154,3459.681,82944,FALSE,376,3458.137,3458.137
289,3458.615,3460.091,83521,FALSE,376,3458.137,3458.137
290,3462.676,3460.522,84100,FALSE,376,3458.137,3458.137
291,3459.367,3460.973,84681,FALSE,376,3458.137,3458.137
292,3458.448,3461.445,85264,FALSE,376,3458.137,3458.137
293,3457.115,3461.937,85849,FALSE,376,3458.137,3458.137
294,3456.08,3462.45,86436,FALSE,376,3458.137,3458.137
295,3455.714,3462.983,87025,FALSE,376,3458.137,3458.137
296,3466.214,3463.537,87616,FALSE,376,3458.137,3458.137
297,3475,3464.111,88209,FALSE,376,3458.137,3458.137
298,3474.5,3464.705,88804,FALSE,376,3458.137,3458.137
210,3468.579,3481.488,44100,TRUE,377,3469.71,3469.71
211,3476,3479.518,44521,FALSE,377,3469.71,3469.71
212,3478.5,3477.656,44944,FALSE,377,3469.71,3469.71
213,3479,3475.902,45369,FALSE,377,3469.71,3469.71
214,3478,3474.255,45796,FALSE,377,3469.71,3469.71
215,3477.438,3472.717,46225,FALSE,377,3469.71,3469.71
216,3473.5,3471.286,46656,FALSE,377,3469.71,3469.71
217,3471.825,3469.963,47089,FALSE,377,3469.71,3469.71
218,3469.014,3468.748,47524,FALSE,377,3469.71,3469.71
219,3469.718,3467.641,47961,FALSE,377,3469.71,3469.71
220,3469.521,3466.641,48400,FALSE,377,3469.71,3469.71
221,3468.917,3465.75,48841,FALSE,377,3469.71,3469.71
222,3468.342,3464.966,49284,FALSE,377,3469.71,3469.71
223,3468.847,3464.29,49729,FALSE,377,3469.71,3469.71
224,3469.014,3463.722,50176,FALSE,377,3469.71,3469.71
225,3468.384,3463.262,50625,FALSE,377,3469.71,3469.71
226,3466.231,3462.91,51076,FALSE,377,3469.71,3469.71
227,3457.679,3462.665,51529,FALSE,377,3469.71,3469.71
228,3455.12,3462.528,51984,FALSE,377,3469.71,3469.71
229,3454.5,3462.499,52441,FALSE,377,3469.71,3469.71
230,3454,3462.578,52900,FALSE,377,3469.71,3469.71
231,3454,3462.765,53361,FALSE,377,3469.71,3469.71
232,3454.327,3463.06,53824,FALSE,377,3469.71,3469.71
233,3460,3463.462,54289,FALSE,377,3469.71,3469.71
234,3465.031,3463.972,54756,FALSE,377,3469.71,3469.71
235,3465.833,3464.59,55225,FALSE,377,3469.71,3469.71
236,3467.5,3465.316,55696,FALSE,377,3469.71,3469.71
237,3469.138,3466.15,56169,FALSE,377,3469.71,3469.71
238,3472.172,3467.092,56644,FALSE,377,3469.71,3469.71
239,3471.661,3468.141,57121,FALSE,377,3469.71,3469.71
240,3473.29,3469.298,57600,FALSE,377,3469.71,3469.71
241,3473.803,3470.564,58081,FALSE,377,3469.71,3469.71
242,3474.638,3471.937,58564,FALSE,377,3469.71,3469.71
243,3474.5,3473.417,59049,FALSE,377,3469.71,3469.71
244,3474.5,3475.006,59536,FALSE,377,3469.71,3469.71
245,3474,3476.702,60025,FALSE,377,3469.71,3469.71
246,3473.5,3478.507,60516,FALSE,377,3469.71,3469.71
247,3474,3480.419,61009,FALSE,377,3469.71,3469.71
248,3483.87,3482.439,61504,FALSE,377,3469.71,3469.71
249,3490.5,3484.567,62001,FALSE,377,3469.71,3469.71
161,3476.409,3491.045,25921,TRUE,378,3478.407,3478.407
162,3484,3488.838,26244,FALSE,378,3478.407,3478.407
163,3487,3486.754,26569,FALSE,378,3478.407,3478.407
164,3485.852,3484.794,26896,FALSE,378,3478.407,3478.407
165,3484,3482.956,27225,FALSE,378,3478.407,3478.407
166,3484.78,3481.241,27556,FALSE,378,3478.407,3478.407
167,3482.576,3479.65,27889,FALSE,378,3478.407,3478.407
168,3480.016,3478.181,28224,FALSE,378,3478.407,3478.407
169,3480,3476.836,28561,FALSE,378,3478.407,3478.407
170,3479.158,3475.613,28900,FALSE,378,3478.407,3478.407
171,3478.618,3474.514,29241,FALSE,378,3478.407,3478.407
172,3478.5,3473.538,29584,FALSE,378,3478.407,3478.407
173,3479,3472.685,29929,FALSE,378,3478.407,3478.407
174,3478.5,3471.954,30276,FALSE,378,3478.407,3478.407
175,3478,3471.347,30625,FALSE,378,3478.407,3478.407
176,3476.878,3470.863,30976,FALSE,378,3478.407,3478.407
177,3473.206,3470.502,31329,FALSE,378,3478.407,3478.407
178,3468.474,3470.265,31684,FALSE,378,3478.407,3478.407
179,3463.5,3470.15,32041,FALSE,378,3478.407,3478.407
180,3463,3470.158,32400,FALSE,378,3478.407,3478.407
181,3463.5,3470.289,32761,FALSE,378,3478.407,3478.407
182,3463.5,3470.544,33124,FALSE,378,3478.407,3478.407
183,3463.596,3470.921,33489,FALSE,378,3478.407,3478.407
184,3467.787,3471.422,33856,FALSE,378,3478.407,3478.407
185,3473.181,3472.045,34225,FALSE,378,3478.407,3478.407
186,3473.569,3472.792,34596,FALSE,378,3478.407,3478.407
187,3473.746,3473.662,34969,FALSE,378,3478.407,3478.407
188,3473.895,3474.654,35344,FALSE,378,3478.407,3478.407
189,3475.273,3475.77,35721,FALSE,378,3478.407,3478.407
190,3474.768,3477.009,36100,FALSE,378,3478.407,3478.407
191,3477.218,3478.371,36481,FALSE,378,3478.407,3478.407
192,3479.107,3479.856,36864,FALSE,378,3478.407,3478.407
193,3480.763,3481.464,37249,FALSE,378,3478.407,3478.407
194,3484,3483.195,37636,FALSE,378,3478.407,3478.407
195,3486,3485.049,38025,FALSE,378,3478.407,3478.407
196,3486.5,3487.027,38416,FALSE,378,3478.407,3478.407
197,3488,3489.127,38809,FALSE,378,3478.407,3478.407
198,3491.667,3491.35,39204,FALSE,378,3478.407,3478.407
199,3498.259,3493.697,39601,FALSE,378,3478.407,3478.407
200,3500.5,3496.167,40000,FALSE,378,3478.407,3478.407
689,3479,3492.628,474721,TRUE,379,3497.84,3497.84
690,3493.235,3493.242,476100,FALSE,379,3497.84,3497.84
691,3494.138,3493.828,477481,FALSE,379,3497.84,3497.84
692,3496.303,3494.387,478864,FALSE,379,3497.84,3497.84
693,3496.243,3494.918,480249,FALSE,379,3497.84,3497.84
694,3494.868,3495.421,481636,FALSE,379,3497.84,3497.84
695,3497.977,3495.897,483025,FALSE,379,3497.84,3497.84
696,3499.727,3496.344,484416,FALSE,379,3497.84,3497.84
697,3498.848,3496.765,485809,FALSE,379,3497.84,3497.84
698,3499.787,3497.157,487204,FALSE,379,3497.84,3497.84
699,3498.388,3497.522,488601,FALSE,379,3497.84,3497.84
700,3499.816,3497.859,490000,FALSE,379,3497.84,3497.84
701,3501.255,3498.169,491401,FALSE,379,3497.84,3497.84
702,3501.204,3498.45,492804,FALSE,379,3497.84,3497.84
703,3501.8,3498.704,494209,FALSE,379,3497.84,3497.84
704,3502.623,3498.931,495616,FALSE,379,3497.84,3497.84
705,3501.018,3499.129,497025,FALSE,379,3497.84,3497.84
706,3500.364,3499.3,498436,FALSE,379,3497.84,3497.84
707,3497.891,3499.444,499849,FALSE,379,3497.84,3497.84
708,3501.625,3499.559,501264,FALSE,379,3497.84,3497.84
709,3501.586,3499.647,502681,FALSE,379,3497.84,3497.84
710,3499.812,3499.707,504100,FALSE,379,3497.84,3497.84
711,3496.475,3499.74,505521,FALSE,379,3497.84,3497.84
712,3494.741,3499.744,506944,FALSE,379,3497.84,3497.84
713,3493.881,3499.722,508369,FALSE,379,3497.84,3497.84
714,3494.608,3499.671,509796,FALSE,379,3497.84,3497.84
715,3495.745,3499.593,511225,FALSE,379,3497.84,3497.84
716,3497.19,3499.487,512656,FALSE,379,3497.84,3497.84
717,3497.911,3499.353,514089,FALSE,379,3497.84,3497.84
718,3496.76,3499.192,515524,FALSE,379,3497.84,3497.84
719,3497.413,3499.003,516961,FALSE,379,3497.84,3497.84
720,3497.512,3498.786,518400,FALSE,379,3497.84,3497.84
721,3499.189,3498.541,519841,FALSE,379,3497.84,3497.84
722,3498.167,3498.269,521284,FALSE,379,3497.84,3497.84
723,3497.294,3497.969,522729,FALSE,379,3497.84,3497.84
724,3497.429,3497.642,524176,FALSE,379,3497.84,3497.84
725,3498.25,3497.287,525625,FALSE,379,3497.84,3497.84
726,3507.833,3496.904,527076,FALSE,379,3497.84,3497.84
736,3493.8,3499.135,541696,TRUE,380,3500.392,3500.392
737,3497.897,3499.108,543169,FALSE,380,3500.392,3500.392
738,3499.094,3499.089,544644,FALSE,380,3500.392,3500.392
739,3497,3499.078,546121,FALSE,380,3500.392,3500.392
740,3495.278,3499.075,547600,FALSE,380,3500.392,3500.392
741,3500.269,3499.079,549081,FALSE,380,3500.392,3500.392
742,3501.321,3499.092,550564,FALSE,380,3500.392,3500.392
743,3501.321,3499.112,552049,FALSE,380,3500.392,3500.392
744,3502.038,3499.141,553536,FALSE,380,3500.392,3500.392
745,3501.375,3499.177,555025,FALSE,380,3500.392,3500.392
746,3499.725,3499.221,556516,FALSE,380,3500.392,3500.392
747,3499.56,3499.273,558009,FALSE,380,3500.392,3500.392
748,3500.423,3499.333,559504,FALSE,380,3500.392,3500.392
749,3500.077,3499.401,561001,FALSE,380,3500.392,3500.392
750,3500.491,3499.477,562500,FALSE,380,3500.392,3500.392
751,3501.333,3499.561,564001,FALSE,380,3500.392,3500.392
752,3505.044,3499.652,565504,FALSE,380,3500.392,3500.392
753,3503.213,3499.752,567009,FALSE,380,3500.392,3500.392
754,3502.164,3499.86,568516,FALSE,380,3500.392,3500.392
755,3502.179,3499.975,570025,FALSE,380,3500.392,3500.392
756,3502.712,3500.098,571536,FALSE,380,3500.392,3500.392
757,3499.429,3500.229,573049,FALSE,380,3500.392,3500.392
758,3498.75,3500.368,574564,FALSE,380,3500.392,3500.392
759,3498.823,3500.515,576081,FALSE,380,3500.392,3500.392
760,3498.574,3500.67,577600,FALSE,380,3500.392,3500.392
761,3499.588,3500.833,579121,FALSE,380,3500.392,3500.392
762,3497.06,3501.004,580644,FALSE,380,3500.392,3500.392
763,3497.588,3501.183,582169,FALSE,380,3500.392,3500.392
764,3497.36,3501.369,583696,FALSE,380,3500.392,3500.392
765,3496.761,3501.564,585225,FALSE,380,3500.392,3500.392
